City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
77,Khoy,IR,38.5504,44.9535,51.84,26,2,5.35,clear sky
78,Saint-Philippe,RE,-21.3585,55.7679,78.39,84,49,15.23,light rain
79,Honningsvag,NO,70.9821,25.9704,37.15,87,100,24.16,light rain
80,Naryan-Mar,RU,67.6713,53.087,18.88,97,83,5.12,light snow
81,Margate,GB,51.3813,1.3862,55.69,84,93,3.0,overcast clouds
82,Harper,LR,4.375,-7.7169,82.31,76,97,7.99,overcast clouds
83,Sohbatpur,PK,28.5202,68.5434,93.04,5,0,8.01,clear sky
84,Ouango,CF,4.3133,22.5552,73.51,86,65,2.42,broken clouds
85,Kamenica,DE,50.8333,12.9167,47.41,92,100,1.99,overcast clouds
86,Muros,ES,42.7762,-9.0603,74.68,62,63,5.46,broken clouds
87,Pemba,MZ,-12.974,40.5178,83.1,83,40,5.75,scattered clouds
88,Inhambane,MZ,-23.865,35.3833,80.58,94,20,9.22,few clouds
89,Lucapa,AO,-8.4192,20.7447,68.95,91,90,1.34,overcast clouds
90,Hwange,ZW,-18.3693,26.5019,74.8,59,31,2.8,scattered clouds
91,Natal,BR,-5.795,-35.2094,89.82,62,20,11.5,few clouds
92,Asyut,EG,27.181,31.1837,80.78,11,1,11.5,clear sky
93,Hamilton,US,39.1834,-84.5333,70.66,23,0,21.85,clear sky
94,Jaisalmer,IN,26.9147,70.9181,88.77,4,0,1.74,clear sky
95,Korla,CN,41.7597,86.1469,52.47,12,0,3.51,clear sky
96,Richards Bay,ZA,-28.783,32.0377,70.3,89,62,22.28,light rain
97,Cabedelo,BR,-6.9811,-34.8339,88.47,67,32,8.68,scattered clouds
98,Codrington,AU,-38.2667,141.9667,56.79,96,86,3.6,overcast clouds
99,Varkkallai,IN,8.7341,76.7067,83.98,77,17,2.44,few clouds
100,Izhma,RU,65.0083,53.9113,24.91,84,100,8.95,overcast clouds
101,Le Vauclin,MQ,14.5452,-60.8388,86.05,62,20,18.41,few clouds
102,Cape Town,ZA,-33.9258,18.4232,63.1,57,20,18.41,few clouds
103,Sakassou,CI,7.4546,-5.2926,87.64,52,90,4.23,overcast clouds
104,Imbituba,BR,-28.24,-48.6703,67.33,74,23,17.67,few clouds
105,Synya,RU,65.3718,58.0387,23.77,92,100,7.65,overcast clouds
106,Willowmore,ZA,-33.2926,23.4895,49.64,64,94,10.54,overcast clouds
107,Pokoynoye,RU,44.8097,44.2517,45.97,92,65,7.52,broken clouds
108,Abu Samrah,SY,35.3029,37.1841,60.82,35,49,7.0,scattered clouds
109,Iranshahr,IR,27.2025,60.6848,93.54,12,0,4.61,clear sky
110,Victoria,HK,22.2855,114.1577,74.17,78,61,15.99,broken clouds
111,Cayenne,GF,4.9333,-52.3333,86.04,1,40,14.97,scattered clouds
112,Chuy,UY,-33.6971,-53.4616,68.36,56,71,10.76,broken clouds
113,Oktyabrskiy,RU,54.4815,53.471,40.26,95,100,11.74,overcast clouds
114,Bereda,ES,43.2686,-7.5406,72.57,69,2,5.06,clear sky
115,Kizilskoye,RU,52.7255,58.8937,48.33,61,11,14.56,few clouds
116,Takoradi,GH,4.8845,-1.7554,81.55,79,100,11.83,overcast clouds
117,Tobol,KZ,52.6844,62.5794,51.44,59,41,11.3,scattered clouds
118,Saldanha,ZA,-33.0117,17.9442,62.65,56,0,16.84,clear sky
119,Sosua,DO,19.7667,-70.5167,87.22,78,40,16.11,scattered clouds
120,Laguna,US,38.421,-121.4238,61.61,73,0,9.22,clear sky
121,Hillsborough,US,37.5741,-122.3794,62.19,71,20,8.05,few clouds
122,Quemado De Guines,CU,22.7853,-80.2536,86.22,57,24,15.37,heavy intensity rain
123,Dudinka,RU,69.4058,86.1778,33.62,92,87,12.68,overcast clouds
124,Caraballeda,VE,10.6112,-66.8522,92.37,52,40,5.75,scattered clouds
125,Portobelo,PA,9.55,-79.65,81.95,78,89,13.98,overcast clouds
126,Chivacoa,VE,10.1603,-68.895,89.1,48,97,5.28,overcast clouds
127,Plettenberg Bay,ZA,-34.0527,23.3716,58.57,65,98,4.68,overcast clouds
128,Alakurtti,RU,66.9672,30.3491,29.68,84,54,4.38,light snow
129,Bosaso,SO,11.2842,49.1816,82.58,66,69,2.86,broken clouds
130,Saint George,US,37.1041,-113.5841,68.43,18,0,4.0,clear sky
131,Coquimbo,CL,-29.9533,-71.3436,64.13,59,0,11.5,clear sky
