City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
558,Bodden Town,KY,87.8,few clouds,19.2833,-81.25,Will T Place
559,Barao De Cocais,BR,79.18,overcast clouds,-19.9458,-43.4872,Impar Suites Barao de Cocais
560,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
561,Ladario,BR,86.09,clear sky,-19.0047,-57.6017,Hotel Fazenda 4 cantos
573,Asuncion,PY,76.89,clear sky,-25.3007,-57.6359,"Crowne Plaza Asuncion, an IHG Hotel"
578,Coxim,BR,84.7,clear sky,-18.5067,-54.76,Hotel Avenida
581,Yarada,IN,84.52,broken clouds,17.65,83.2667,Yarada Jungle Beach Resorts
591,Fomboni,KM,84.25,overcast clouds,-12.28,43.7425,Auberge les abou
593,Corralillo,CU,84.34,light rain,22.9819,-80.5856,Hostal De Pedri
594,Asyut,EG,77.18,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
596,Lodwar,KE,89.67,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
597,Kanniyakumari,IN,83.57,broken clouds,8.0833,77.5667,Sparsa Kanyakumari
598,Harper,LR,80.85,overcast clouds,4.375,-7.7169,Screensaver
600,Keshabpur,BD,81.48,scattered clouds,22.9183,89.2112,Hospital Para
601,Pozo Colorado,PY,83.08,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
602,Gurupi,BR,83.39,broken clouds,-11.7292,-49.0686,Via Norte Hotel
609,Nizwa,OM,88.5,broken clouds,22.9333,57.5333,Orient Apartments
612,San Andres,CO,86.02,few clouds,12.5847,-81.7006,Hotel Arena Blanca
613,Riyadh,SA,84.34,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
614,Tamandare,BR,83.32,clear sky,-8.7597,-35.1047,Pousada 100 Passos
619,Dzaoudzi,YT,82.29,clear sky,-12.7887,45.2699,Le Rocher
