City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Qaanaaq,77.484,-69.3632,8.2,93,100,0.76,GL,2022-04-06 04:07:27
68,Geraldton,-28.7667,114.6,86.41,37,59,12.66,AU,2022-04-06 04:07:28
69,Alta Floresta,-9.8756,-56.0861,71.29,95,93,1.03,BR,2022-04-06 04:07:28
70,Gamba,-2.65,10.0,76.8,94,100,5.1,GA,2022-04-06 04:07:29
71,Pemangkat,1.1667,108.9667,83.66,72,75,7.07,ID,2022-04-06 04:07:22
72,Lagoa,39.05,-27.9833,59.36,89,81,18.03,PT,2022-04-06 04:07:29
73,Jamestown,42.097,-79.2353,53.24,68,100,6.91,US,2022-04-06 04:07:30
74,Wanaka,-44.7,169.15,60.55,40,4,13.31,NZ,2022-04-06 04:07:24
75,Hobart,-42.8794,147.3294,65.01,48,20,6.91,AU,2022-04-06 04:07:30
76,Busselton,-33.65,115.3333,71.06,43,98,4.9,AU,2022-04-06 04:07:31
77,Sitka,57.0531,-135.33,35.15,85,46,6.33,US,2022-04-06 04:03:19
78,Pevek,69.7008,170.3133,-3.06,91,100,9.73,RU,2022-04-06 04:07:32
79,Bathsheba,13.2167,-59.5167,79.41,69,20,12.66,BB,2022-04-06 04:07:32
80,Pokrovskoye,47.4157,38.8971,40.68,88,49,8.93,RU,2022-04-06 04:07:33
81,Rongcheng,30.634,117.8517,76.44,40,60,1.83,CN,2022-04-06 04:07:33
82,Bluff,-46.6,168.3333,52.83,71,75,28.68,NZ,2022-04-06 04:07:34
83,North Bend,43.4065,-124.2243,46.31,85,0,10.36,US,2022-04-06 04:07:34
84,Hilo,19.7297,-155.09,73.26,87,100,6.91,US,2022-04-06 04:07:35
85,Odweyne,9.4092,45.064,68.18,44,1,4.63,SO,2022-04-06 04:07:36
86,Lasa,46.6166,10.7002,35.37,77,27,2.13,IT,2022-04-06 04:07:36
87,Port Alfred,-33.5906,26.891,58.17,85,16,1.01,ZA,2022-04-06 04:07:37
88,Pochutla,15.7432,-96.4661,76.82,74,0,4.29,MX,2022-04-06 04:07:37
89,Hambantota,6.1241,81.1185,84.54,79,20,3.44,LK,2022-04-06 04:07:38
90,Chokurdakh,70.6333,147.9167,-1.98,88,14,4.92,RU,2022-04-06 04:07:38
91,Ambon,-3.6954,128.1814,93.34,59,40,6.91,ID,2022-04-06 04:07:39
92,Saskylakh,71.9167,114.0833,-5.15,91,30,5.32,RU,2022-04-06 04:07:39
93,Upernavik,72.7868,-56.1549,10.54,98,100,1.92,GL,2022-04-06 04:07:40
94,Dicabisagan,17.0818,122.4157,78.35,87,99,9.42,PH,2022-04-06 04:07:40
95,Bereda,43.2686,-7.5406,34.57,100,3,0.29,ES,2022-04-06 04:08:10
96,Mataram,-8.5833,116.1167,86.81,66,44,8.05,ID,2022-04-06 04:08:11
97,Lata,40.1629,-8.3327,42.69,82,95,3.18,PT,2022-04-06 04:08:11
98,Georgetown,5.4112,100.3354,85.95,74,20,4.61,MY,2022-04-06 04:08:12
99,Albany,42.6001,-73.9662,48.61,55,100,1.01,US,2022-04-06 04:06:54
100,Kruisfontein,-34.0033,24.7314,59.88,80,94,8.41,ZA,2022-04-06 04:08:12
101,Sardinata,8.0829,-72.8007,80.28,96,87,1.07,CO,2022-04-06 04:08:13
102,Victor Harbor,-35.5667,138.6167,64.78,69,46,11.45,AU,2022-04-06 04:08:13
103,Dombarovskiy,50.7587,59.5386,37.4,66,32,1.97,RU,2022-04-06 04:08:13
104,Port Hawkesbury,45.6169,-61.3485,28.18,93,11,1.99,CA,2022-04-06 04:08:14
105,Rijeka,45.3431,14.4092,42.51,91,0,4.61,HR,2022-04-06 04:08:14
106,Carnarvon,-24.8667,113.6333,84.27,65,2,16.11,AU,2022-04-06 04:08:15
107,Dikson,73.5069,80.5464,0.55,82,11,19.35,RU,2022-04-06 04:08:16
108,Mehamn,71.0357,27.8492,30.15,93,75,18.41,NO,2022-04-06 04:08:16
109,Sukumo,32.9333,132.7333,69.76,30,45,7.11,JP,2022-04-06 04:08:17
110,Thompson,55.7435,-97.8558,28.98,95,100,7.7,CA,2022-04-06 04:07:00
111,Bredasdorp,-34.5322,20.0403,58.53,71,18,14.76,ZA,2022-04-06 04:08:17
112,Salalah,17.0151,54.0924,78.89,69,0,2.3,OM,2022-04-06 04:04:49
113,Xichang,27.8964,102.2634,55.29,73,99,1.61,CN,2022-04-06 04:08:18
114,Pangody,65.85,74.4859,21.4,92,100,18.41,RU,2022-04-06 04:08:19
